kvkNr,deptNr,name,sector,vatNr
29583669,58447338,Specific Appraisals,Visserij,NL423309218B49,null
55871294,43200798,Wholesale Club,Toerisme,NL458390672B13,null
42167122,56401109,National Shirt Shop,Toerisme,NL511025099B64,null
32257009,92612774,Wild Oats Markets,Akker- en tuinbouw,NL743609640B83,null
28060615,14313435,David Weis,Handel en bankwezen,NL837640642B25,null
46281424,20583799,Reliable Guidance,Akker- en tuinbouw,NL615638314B69,null
90311198,42056030,Standard Sales,Veeteelt,NL167416854B69,null
99962548,44307780,Food Mart,Visserij,NL233920525B87,null
14694046,38312768,Las Vegas Yard Management,Visserij,NL985936862B14,null
16090360,65960457,Electric Avenue,Toerisme,NL511214061B37,null
43397262,55385641,Erb Lumber,Akker- en tuinbouw,NL457388554B56,null
17192863,95837062,Britches of Georgetown,Visserij,NL209596533B53,null
37502086,68221012,Bombay Company,Akker- en tuinbouw,NL671407344B87,null
46637734,28848027,Foot Quarters,Akker- en tuinbouw,NL516393773B81,null
22765729,19482814,Modern Architecture Design,Akker- en tuinbouw,NL267108545B16,null
32479588,33112988,Datacorp,Akker- en tuinbouw,NL321907116B35,null
37268848,39415359,Unity Stationers,Energie,NL530193438B42,null
56070490,85105789,Jacob Reed and Sons,Akker- en tuinbouw,NL927078264B84,null
66472712,81100930,John F. Lawhon,Energie,NL346594720B89,null
54754435,86108808,The White Swan,Toerisme,NL900173205B23,null
70560319,30117051,Beasts of Beauty,Veeteelt,NL741365320B55,null
74867385,24023141,Quality Realty Service,Veeteelt,NL736121357B48,null
13148555,39927702,The White Rabbit,Energie,NL200618337B08,null
51388300,10952442,Team Uno,Veeteelt,NL367627137B08,null
63585447,14227526,Castro Convertibles,Veeteelt,NL577798859B66,null
18799794,41967580,Pearl Architectural Design,Visserij,NL221240166B76,null
60386776,53844517,Acuserv,Akker- en tuinbouw,NL363626006B10,null
23188092,82401831,Official All Star Café,Veeteelt,NL235896211B24,null
84292799,53385930,Star Assistance,Transport,NL623297407B58,null
86172481,77504603,Child World,Industrie,NL165853864B69,null
49107710,97249294,Ulbrich's,Transport,NL475711828B36,null
52637378,61425018,Sunburst Garden Management,Visserij,NL271303043B15,null
34521912,67271943,Castle Realty,Akker- en tuinbouw,NL744935107B35,null
58669014,18949216,Benesome,Energie,NL692196968B22,null
82249072,66131061,Practi-Plan,Energie,NL236146666B46,null
93367700,16311240,Knockout Kickboxing,Industrie,NL804789763B99,null
90284611,87665955,Bay Furniture,Veeteelt,NL426874500B10,null
66086095,24393284,Desmonds Formal Wear,Toerisme,NL922043488B47,null
20972975,97715580,Larry's Markets,Energie,NL991037496B07,null
26281476,99055868,Landskip Yard Service,Transport,NL144812139B64,null
76313349,89425640,Best Biz Survis,Transport,NL638493315B67,null
52647236,13656110,Kash n' Karry,Handel en bankwezen,NL907193383B40,null
72760428,97487836,Planetbiz,Industrie,NL751829806B10,null
29061379,96888437,Pantry Food Stores,Energie,NL820043152B66,null
27276260,44219824,Tower Records,Handel en bankwezen,NL246242192B60,null
94549919,69694758,Walt's IGA,Energie,NL832293567B28,null
44321059,42670863,Muirhead's,Visserij,NL297801228B89,null
18171065,26251182,Burger Chef,Energie,NL858005508B07,null
16771866,70464172,Spaceage Stereo,Handel en bankwezen,NL288886822B47,null
59709774,52158937,Four Leaf Clover,Handel en bankwezen,NL946788492B27,null
29940268,97575785,Adaptabiz,Industrie,NL889263329B27,null
45710620,84837464,Block Distributors,Energie,NL982727953B62,null
27743515,30781646,Stop and Shop,Visserij,NL627192722B59,null
88584495,70390614,Helping Hand,Industrie,NL580317796B03,null
74467219,93942322,Team Electronics,Veeteelt,NL949410193B97,null
36057296,13622777,J. K. Gill Company,Industrie,NL517557503B78,null
70933883,89502824,Builders Square,Akker- en tuinbouw,NL744569579B38,null
69987915,98767353,Morrie Mages,Visserij,NL270684940B27,null
22799700,84984016,Red Fox Tavern,Akker- en tuinbouw,NL866671186B62,null
42903308,27172447,Rogers Food Stores,Visserij,NL473196932B71,null
38772800,86967108,Atlas Architectural Designs,Visserij,NL457325036B60,null
25577566,40401912,Team Designers and Associates,Energie,NL796699740B57,null
19330946,14549305,Sun Foods,Energie,NL206708280B45,null
63533077,50634514,Hills Supermarkets,Toerisme,NL432152771B90,null
13905899,90622832,White Coffee Pot,Energie,NL652427760B96,null
31521938,57979318,Sunny Real Estate Investments,Energie,NL388961116B9,null
35142355,84213170,Camelot Music,Akker- en tuinbouw,NL144779846B01,null
94381922,16220509,Brendle's,Akker- en tuinbouw,NL514761450B44,null
42145980,83611738,Shoe Kicks,Visserij,NL880494385B31,null
26203307,18603718,J. Brannam,Energie,NL382614192B52,null
96034151,33474960,Fragrant Flower Lawn Services,Handel en bankwezen,NL939464914B80,null
47855035,42439018,Present Company,Akker- en tuinbouw,NL838034231B50,null
35920488,29371070,Handy City,Veeteelt,NL903832371B11,null
16233372,73886310,Rose Records,Energie,NL515486539B69,null
95933894,75417544,Auto Palace,Visserij,NL615494801B83,null
19463374,29059987,You Are Successful,Transport,NL449949450B79,null
17164097,28145857,Afterthoughts,Visserij,NL722069289B26,null
48673666,31486194,Sportmart,Transport,NL335305484B06,null
22985947,47904684,Big Daddy's Restaurants,Industrie,NL986124039B77,null
61416422,50792679,Foreman & Clark,Transport,NL515244842B40,null
40503627,10503714,Robert Hall,Akker- en tuinbouw,NL273598252B94,null
75453616,64043959,First Choice Yard Help,Toerisme,NL731262839B96,null
75601951,61743904,King Carol,Toerisme,NL526952104B22,null
40769547,53040251,National Tea,Toerisme,NL582268296B31,null
97273266,96967728,Handy Andy,Akker- en tuinbouw,NL624176168B42,null
65641575,64546415,Gene Walter's Marketplace,Akker- en tuinbouw,NL880296800B87,null
89105649,75370788,Reliable Investments,Veeteelt,NL414684451B59,null
65165450,64289617,Stratagee,Visserij,NL800168541B81,null
93807981,71827050,Children's Palace,Industrie,NL138181813B10,null
44011714,95138302,Chandlers,Toerisme,NL980622020B72,null
27393366,47354227,The Spotted Cougar,Energie,NL576469509B36,null
73277522,98452282,Singer Lumber,Handel en bankwezen,NL459372145B43,null
16367974,99870592,Reliable Garden Management,Transport,NL427866386B80,null
74856833,31172456,Veramons,Toerisme,NL520879479B46,null
28807213,53847928,Kiddie City,Industrie,NL627938823B69,null
15140832,67514101,Lafayette Radio,Akker- en tuinbouw,NL511077480B38,null
84907116,40907743,Highland Appliance,Visserij,NL430329094B01,null
13753197,10108133,EnviroSource Design,Energie,NL684019747B98,null
85770130,95165811,Forth & Towne,Transport,NL544121454B81,null
97785812,46287101,Hughes Markets,Transport,NL632570237B28,null
49328379,57640021,Powerbod,Transport,NL856576704B61,null
37377432,75740429,Waves Music,Toerisme,NL144809592B40,null
94081361,70573520, punching,Veeteelt,NL172322660B11,null
61702402,87021302,Simple Solutions,Veeteelt,NL213308464B71,null
62805346,48938787,PriceRite Warehouse Club,Transport,NL322359543B61,null
55623981,14356984,Soul Sounds Unlimited,Energie,NL499418413B70,null
24006480,31510612,Starship Tapes & Records,Veeteelt,NL893148287B78,null
22155824,85458220,Williams Bros.,Toerisme,NL107263864B58,null
23775394,95453382,Cougar Investment,Energie,NL404168058B73,null
28658876,20069641,System Star,Visserij,NL671375124B42,null
30841034,27612180,Cala Foods,Handel en bankwezen,NL389826020B32,null
20853877,12323457,Disc Jockey,Visserij,NL399908415B26,null
89338813,70531280,Gino's Hamburgers,Energie,NL645883122B71,null
60024540,40528358,H.C. Bohack,Visserij,NL406037250B38,null
37801253,21710927,Pender's Food Stores,Energie,NL607200320B45,null
60874414,68970264,Kinney Shoes,Akker- en tuinbouw,NL171802977B28,null
14307142,98213248,Vitagee,Energie,NL140093478B68,null
51037411,71047163,House Of Denmark,Transport,NL136086606B27,null
76797037,10166057,Luria's,Akker- en tuinbouw,NL605811267B26,null
57972166,98021883,Glicks Furniture,Akker- en tuinbouw,NL111384956B18,null
37802696,25660739,Monk House Maker,Visserij,NL652864150B70,null
72263752,56144457,National Lumber,Energie,NL615479450B30,null
42527706,55995770,Dick Fischers,Visserij,NL533531939B90,null
59611625,17346970,The Royal Canadian Pancake Houses,Akker- en tuinbouw,NL841683805B87,null
97886564,42966334,Mars Music,Visserij,NL476503396B08,null
10712778,47265310,Mikrotechnic,Energie,NL607445347B70,null
21813911,26932251,Payless Cashways,Veeteelt,NL323188795B63,null
83513981,93395659,Superior Interactive,Akker- en tuinbouw,NL192922175B51,null
38317819,53178066,Briazz,Veeteelt,NL529293360B57,null
83390451,42441671,Yesterday's Records,Energie,NL446329135B20,null
94293892,41017571,Dynatronics Accessories,Energie,NL524868923B43,null
65158226,99525156, coating,Akker- en tuinbouw,NL448553823B80,null
52087337,10316823,Beaver Lumber,Akker- en tuinbouw,NL986424619B43,null
34102804,74143612,Superior Appraisals,Energie,NL206588918B23,null
97451216,25525557,Thriftway Food Mart,Transport,NL973464212B85,null
67300479,90113780,World Radio,Toerisme,NL181834205B88,null
50088954,70527168,The Wall,Veeteelt,NL855400267B28,null
60871966,70113196,World of Fun,Veeteelt,NL810016249B72,null
83147730,36949529,Security Sporting Goods,Veeteelt,NL989391055B05,null
64204455,51579721,Loblaws,Handel en bankwezen,NL707957467B35,null
60619213,41964437,Nutri G,Energie,NL373807452B77,null
54356768,74858985,ABC Markets,Visserij,NL348494440B28,null
45023643,29303966,Kenny Rogers Roasters,Visserij,NL594025668B24,null
26127194,12576521, baking,Handel en bankwezen,NL969427227B49,null
45092197,70401719,Britling Cafeterias,Transport,NL694639467B02,null
20258508,29594450,Coffey's Market,Transport,NL433470045B89,null
55848602,66761293,Crandall's Fine Furniture,Visserij,NL698228074B48,null
26003912,45434213,Gas Legion,Energie,NL684860133B70,null
11751094,82568895,Life's Gold,Toerisme,NL726971266B40,null
77915916,38515948,Mostow Co.,Industrie,NL441734717B02,null
16771941,28669962,Morrison's Cafeteria,Energie,NL171179604B21,null
26212634,90560146,Ejecta,Energie,NL427685146B05,null
49013569,57520378,Market Basket,Toerisme,NL666623319B85,null
19770532,16735990,Pak and Save,Veeteelt,NL613785674B50,null
36469142,85632473,The Original House of Pies,Energie,NL188321012B18,null
50949180,83190329,Pro Property Maintenance,Visserij,NL400245036B33,null
83752659,83190580,Integra Investment Service,Transport,NL825962527B71,null
41479106,24882084,Gamma Gas,Industrie,NL844117743B94,null
31083250,23525558,Crafts Canada,Toerisme,NL899116066B67,null
45991034,43816531,Midwest TV & Appliance,Akker- en tuinbouw,NL180143953B15,null
89010666,88281556,MVP Sports,Energie,NL588202852B85,null
71902103,87143075,Monk Real Estate Service,Veeteelt,NL168069097B15,null
92258596,56825693,Enviro Architectural Designs,Toerisme,NL689160561B91,null
53630713,78825281,Baltimore Markets,Transport,NL335518783B81,null
65682585,17378680,Oshman's,Industrie,NL540452458B04,null
13843592,45882309,Budget Tapes & Records,Toerisme,NL963983155B97,null
74684668,77438707,Freedom Map,Akker- en tuinbouw,NL124763459B94,null
38106926,68326857,Wealthy Ideas,Akker- en tuinbouw,NL453987149B92,null
18373582,43322788,Wilson's Jewelers,Transport,NL565491627B60,null
77234325,53643321,Target Realty,Energie,NL395708186B29,null
17283271,97481370,Excella,Veeteelt,NL954322872B10,null
98310575,40369204,Olson Electronics,Energie,NL713604209B66,null
55150729,85821295,Music Plus,Industrie,NL693751710B83,null
62034271,31084475,Sew-Fro Fabrics,Visserij,NL630960344B79,null
64161355,48808181,House Works,Energie,NL679740421B65,null
28529268,48166120,Maxaprofit,Industrie,NL860466531B19,null
12580875,52106430,Forum Cafeterias,Veeteelt,NL359061873B73,null
40787645,28438413,The Pink Pig Tavern,Transport,NL205437927B58,null
78930895,28920755,One-Up Realtors,Transport,NL310834006B81,null
48806028,26083729,Club Wholesale,Transport,NL659162851B86,null
77668910,15180406,O.K. Fairbanks,Visserij,NL239708699B66,null
71310623,52929600,Magna Wealth,Industrie,NL245560186B39,null
78137747,56913744,Pay'N Takeit,Toerisme,NL186697777B67,null
23351036,45238534,Shoe Pavilion,Industrie,NL730067470B39,null
59480554,25750179,Pointers,Visserij,NL502795539B06,null
79318609,89123594,Creative Wealth Management,Energie,NL311707726B31,null
36139240,54591865,Price's Electronics,Energie,NL604697612B35,null
45623943,72593663,Edge Yard Service,Veeteelt,NL140073549B13,null
80814079,83435488,Chi-Chi's,Akker- en tuinbouw,NL731067865B88,null
79717633,20006129,Independent Investors,Energie,NL853109022B30,null
41007311,81601559,Silo,Veeteelt,NL301651133B99,null
86337220,64975755,Cloth World,Handel en bankwezen,NL950265233B02,null
38482907,45096843,Signa Air,Energie,NL247802185B07,null
39218875,88066199,Quality Merchant Services,Akker- en tuinbouw,NL282856027B78,null
54752878,36696382,Prahject Planner,Toerisme,NL635648933B56,null
99408710,96420509,Avant Garde Appraisal,Visserij,NL388184013B14,null
76042614,32827970,Olson's Market,Veeteelt,NL743612576B84,null
63411155,82307481, kiln,Transport,NL243786117B98,null
45884002,23680896,Town and Country Convenience Stores,Transport,NL890578184B96,null
51779459,25513350,Magna Gases,Veeteelt,NL626541307B28,null
68604256,35854588,Argus Tapes & Records,Toerisme,NL292338675B18,null
19231483,73601078,E-zhe Source,Handel en bankwezen,NL214047963B86,null
26531674,70491886,Marianne,Veeteelt,NL699272812B34,null
82108029,57530912,Patterson-Fletcher,Industrie,NL251801238B25,null
58113032,80600148,Erlebacher's,Akker- en tuinbouw,NL770068920B23,null
16672231,36733888,Circuit Design,Handel en bankwezen,NL155533409B18,null
35602911,84333094,MacMarr Stores,Industrie,NL426173108B52,null
28626707,68534570,Food Giant,Handel en bankwezen,NL698993507B24,null
39854130,18059112,Lawn N' Order Garden Care,Transport,NL825238628B95,null
57321590,66988451,Rossi Auto Parts,Transport,NL233933804B17,null
50166862,96808991,Strategy Planner,Industrie,NL561566410B30,null
69784429,34395210,FlowerTime,Veeteelt,NL726633207B39,null
67739399,72505289,Thorofare,Visserij,NL448393315B60,null
11970340,27353228,Sky High Financial Advice,Visserij,NL258912489B24,null
71549535,61081326,Pleasures and Pasttimes,Toerisme,NL207252234B11,null
25813974,92168367,Al's Auto Parts,Akker- en tuinbouw,NL780084335B76,null
79805562,86801621,Consumers Food and Drug,Toerisme,NL660772319B03,null
31747994,87718334,Albers Super Markets,Transport,NL553969691B42,null
87802830,91724299,JasmineSola,Veeteelt,NL548642623B05,null
72631926,54165025,HomeBase,Transport,NL479378992B19,null
51694944,41084247,Future Plan,Akker- en tuinbouw,NL170139769B39,null
59137376,81902901,Sportswest,Veeteelt,NL774352978B86,null
35394255,46729968,Standard Food,Veeteelt,NL427045513B55,null
84319764,95103612,Total Sources,Toerisme,NL946017957B87,null
88532464,11491535,Huyler's,Industrie,NL652115884B61,null
20917904,42453592,Tons O' Toys,Industrie,NL401671031B17,null
68425594,18086631,Specialty Restaurant Group,Akker- en tuinbouw,NL489950459B89,null
78443920,64447457,Omni Tech Solutions,Industrie,NL138584194B53,null
38379010,49226942,Solid Future,Veeteelt,NL233271820B98,null
56901092,97061056,Matrix Design,Visserij,NL262715086B73,null
38307796,93306234,Almacs,Visserij,NL255128782B13,null
51991903,27817307, apparel,Industrie,NL985484994B42,null
89679279,39666836,Paul's Food Mart,Visserij,NL504506744B76,null
31716773,26469377,Wells & Wade,Akker- en tuinbouw,NL448764524B77,null
27525758,81577225,Big Bear Stores,Akker- en tuinbouw,NL934787097B96,null
77490976,90927677,Life Map,Energie,NL605890685B13,null
51904126,21371891,Big Wheel,Visserij,NL654445181B53,null
97805659,16133497,AM/PM Camp,Energie,NL414370030B80,null
40908312,98987849,Alexander's,Akker- en tuinbouw,NL331005295B40,null
87160126,31847583,Techo Solutions,Industrie,NL299205733B12,null
44297613,60720963,Paul's Record Hut,Transport,NL395866800B76,null
80373402,71729845,Jackhammer Technologies,Energie,NL131893558B29,null
66500815,63267190,Earthworks Garden Kare,Toerisme,NL321873888B73,null
97786173,73840593,Belle Ladi,Handel en bankwezen,NL907567000B64,null
30514599,44137349,Wealth Zone Group,Veeteelt,NL583914794B55,null
71669522,43715869,L' Fish,Toerisme,NL413105609B41,null
46114601,88267785,Jafco,Handel en bankwezen,NL612184953B72,null
85272570,93600835,Sears Homelife,Toerisme,NL168048157B45,null
23361666,73194498,Master Builder Design Services,Energie,NL779111089B33,null
95861864,71644325,Bell Markets,Handel en bankwezen,NL967205100B82,null
52252495,40137787,Custom Lawn Service,Visserij,NL564176387B74,null
54984403,16784975,Pro Garden Management,Handel en bankwezen,NL148464334B71,null
85040747,16795176,Fellowship Investments,Handel en bankwezen,NL366580220B71,null
35147950,39653530,Buck Alley Lumber,Transport,NL465092619B37,null
86472003,58355544,Monk Home Funding Services,Energie,NL735329799B48,null
19251935,41141445,Opti-Tek,Energie,NL938003266B90,null
89561135,83374410,Simply Save,Toerisme,NL392617632B51,null
89874849,83675894,Belle Lady,Akker- en tuinbouw,NL720188810B40,null
99580046,64202942,Royal Gas,Veeteelt,NL872572800B97,null
82057162,81266974,Hanover Shoe,Akker- en tuinbouw,NL750752597B68,null
44149208,66792493,Unity Frankford Stores,Handel en bankwezen,NL728562328B14,null
25021807,56782260,EXPO Design Center,Energie,NL518225094B85,null
11929410,65920954,L.L. Berger,Toerisme,NL365783368B38,null
32866901,30932587,Value Giant,Energie,NL595974891B53,null
54669637,91972532,Just For Fun,Transport,NL327751545B43,null
45153219,51371825,Woolf Brothers,Akker- en tuinbouw,NL668265123B37,null
66923479,50965574,Mansmann's Department Store,Handel en bankwezen,NL828168255B94,null
97282465,83476283,Sun Television and Appliances,Visserij,NL940994858B96,null
42970356,80838260,Nan Duskin,Visserij,NL221549196B18,null
94177911,71153305,Steak and Ale,Veeteelt,NL465674675B55,null
86653362,65540132,John Plain,Handel en bankwezen,NL778140710B41,null
38207811,62833395,Bresler's Ice Cream,Visserij,NL628013682B90,null
74581996,10080774,Intelacard,Transport,NL204682750B27,null
92535492,46346772,Great Clothes,Veeteelt,NL105321083B98,null
16646757,10762565,Mission G,Handel en bankwezen,NL875408541B76,null
45158267,51426929,Sholl's Colonial Cafeteria,Industrie,NL764684583B47,null
12232265,84639194,Elm Farm,Transport,NL261482792B55,null
88719118,30088912,Listenin' Booth,Toerisme,NL372277782B41,null
40661071,45582577,Gart Sports,Handel en bankwezen,NL827128802B32,null
11810022,22247960,Matrix Interior Design,Toerisme,NL543724224B81,null
18884917,43309945,Warshal's,Visserij,NL695928766B19,null
23158516,91975483,Grass Roots Yard Services,Veeteelt,NL935738295B59,null
66686772,74162077,Asian Answers,Transport,NL218031397B51,null
84375150,75537661,Fradkin Brothers Furniture,Toerisme,NL524828810B25,null
68089814,30918572,Star Bright Investment Group,Veeteelt,NL944563373B26,null
44041112,65971332,Strategic Profit,Industrie,NL727949429B22,null
78425336,68168001,Sunny's Surplus,Toerisme,NL750807779B68,null
97951669,13175146,Foxmoor,Akker- en tuinbouw,NL982733840B40,null
66550270,87676314,Action Auto,Akker- en tuinbouw,NL910328257B06,null
44283149,19600403,Raleigh's,Handel en bankwezen,NL391432105B65,null
87125256,41540880,Wise Solutions,Industrie,NL746589328B81,null
50893456,65777906,McDuff,Toerisme,NL384763480B54,null
86645463,30226031,Alladin Realty,Akker- en tuinbouw,NL519879907B61,null
12619220,77906773,Megatronic Plus,Handel en bankwezen,NL115932024B43,null
34750994,49287152,Schweggmanns,Energie,NL259285651B82,null
65987469,84514938,Circuit City,Industrie,NL652902792B53,null
59521160,51877006,Electronics Source,Visserij,NL914421547B10,null
11560977,99191561,Star Interior Design,Transport,NL993311719B48,null
52526560,30231192,Atlas Realty,Visserij,NL691164029B40,null
53729339,56598433,Planet Profit,Industrie,NL344139551B75,null
31059138,65895317,New World Realty,Transport,NL479133864B41,null
87653906,15969539,Dahlkemper's,Akker- en tuinbouw,NL195244488B33,null
29908700,46251616,Happy Bear Investment,Energie,NL289141576B41,null
20796519,62603879,Purity Supreme,Transport,NL643470094B57,null
51490038,65991168,Grossman's,Veeteelt,NL426466096B93,null
